"Unskilled No.","Housemaid No.","Total labourers","Average Real wages","Average Real Wages (F)","Preparation of Land (M)","Plucking (F)","Planting (M)","Tapping (M)","Tapping (F)","Digging Pits (M)","Plucking with Sticks (M)","Ploughing with mammoties (M)","Transplanting/Harvesting (M)","Transplanting/Harvesting (F)","Master Carpenter","Skilled Helper","Unskilled Helper","Master Carpenter_housing","Skilled Helper_housing","Unskilled Helper_housing","Year"
0.07057236548177818,0.09517841358810716,0.08641284944317072,0.07171312291019043,0.07236523203790812,0.07079085698707956,0.07529839533014275,0.07021021765167472,0.07300838632180996,0.07065114777662057,0.0699847241465061,0.06766973239569105,0.06856508205143702,0.06977760119234701,0.0715986817717881,0.07518521682879498,0.07275947725114036,0.0720411244927613,0.0753041892909516,0.07204599045886356,0.07124979815921201,2006
0.09000253572001511,0.09770222465736687,0.094959317019994,0.07134379559678587,0.07182249279755007,0.06996423083095714,0.07313102259969405,0.06696402758848552,0.07246839976637318,0.07038620597245825,0.06970229848307223,0.06877463030845886,0.06890696303907642,0.06904424453392319,0.07204046087208212,0.07484346584320956,0.07254712493065626,0.0717847069310074,0.0754131821965043,0.07168410807559542,0.070848134991119,2007
0.10218606664976186,0.10301711876993801,0.10272106795203703,0.0716853317098542,0.07266511514250341,0.06746676457203409,0.06947124924108035,0.06889480857390658,0.0771795069592145,0.07587994177370926,0.07038793562826387,0.07016031549257809,0.07152679138082141,0.0715131460605306,0.07237560363782239,0.07259279149528262,0.07218497368641981,0.07061658248301743,0.0730549720581824,0.07339106927155886,0.07089253996447602,2008
0.08654740157697635,0.10851051237946512,0.10068645807665151,0.07571564706074352,0.07658227661639197,0.07157351366681249,0.07446061588660467,0.07312394168421922,0.07901986930121332,0.07823701023832584,0.07593697822302746,0.07786371428210416,0.07368951917555683,0.0749664454736476,0.07679085568041599,0.07665108444910963,0.07473813995828675,0.07482915671183143,0.07702454322064127,0.07536076699236081,0.0762736153721944,2009
0.10422671751906534,0.10762660577956552,0.10641544263364916,0.07763063815455076,0.08040209898739022,0.07483824728873216,0.07661102951900606,0.0747862718374427,0.08444177512315001,0.08495800520138624,0.07512700273544352,0.07653839836132548,0.07614312913657105,0.07829323592143003,0.07944153028218007,0.07825365246365845,0.07710199989793919,0.07552514723659201,0.07885512861162855,0.07824260661071536,0.07658646859357338,2010
0.10984670106275993,0.1026047562956868,0.1051845989065585,0.0804277337730729,0.08298797617501535,0.08012777529838785,0.08011138735597485,0.07910213521661917,0.08802607363653396,0.08780841357720162,0.07900813528011652,0.07860639661482866,0.07812830547916225,0.07998529333277986,0.08112232203157452,0.08150761006212545,0.07963541246557505,0.07892980263987986,0.08115141096270462,0.07934477807025807,0.07913168093008234,2011
0.10840979305419714,0.113640225195729,0.11177695612284841,0.08403207506604254,0.08589241766987568,0.08370908915031185,0.08244156742767791,0.0841531408747367,0.09015571449037393,0.090658821953017,0.08308110412448044,0.0824152759507106,0.08244998337816191,0.08297802104397571,0.08450167825278906,0.08437343618410614,0.08378533649612087,0.08338658407036424,0.0839616939479212,0.08346098362606148,0.08326739867592442,2012
0.06375352111461281,0.07052543761013037,0.06811303606685515,0.08725266127351816,0.0889797387208751,0.08687269297653567,0.08646426548450445,0.09171725932350389,0.0939273552780931,0.09429796512513172,0.08722689971224555,0.09265558773689672,0.08694543503883465,0.0842925282619052,0.08642874915579571,0.0848787394270789,0.08538538653883826,0.08593244414777793,0.08419454242796559,0.08484902564407629,0.08585903439367026,2013
0.07126063234302255,0.060065557997063826,0.06405364831789812,0.08891469331405216,0.08857858363017566,0.09065186947221238,0.08987304419201769,0.09286127286994589,0.08537573146137996,0.08684000560336692,0.09072435965753667,0.09643638834564351,0.08818073982290187,0.08799291549794128,0.08905911207478763,0.0866106846004565,0.08748421761339038,0.08874082696698726,0.08601398081724862,0.08706824044192614,0.08831947359922492,2014
0.051847711900806774,0.048242591316333565,0.04952686563770671,0.0934943283481833,0.09095798393288197,0.09751110778897289,0.09379398766056024,0.0970656259034403,0.08403678520657241,0.0834505776949454,0.09725922768126753,0.09498612208911346,0.09851272326150683,0.09587995880551818,0.09509422081845928,0.09069460887820241,0.09342843644492584,0.09494572494942877,0.08980396139669455,0.09271129221754584,0.0944715808170515,2015
0.036024474010594824,0.03937775266269704,0.03818319354479921,0.09714833902047727,0.09221945935774536,0.10034494054227554,0.09514393186512766,0.09684054020567463,0.08405331540724906,0.08527776255123731,0.09973711321894206,0.09710045024238961,0.10260018435129499,0.10241691424866524,0.0958178245172167,0.09541687517545253,0.09862036837366106,0.09994790246364366,0.09527342356624788,0.09859890377729198,0.09971338608105924,2016
0.10532207956640913,0.05350880374791671,0.07196656627783148,0.10064163377252891,0.09654662493168702,0.10614891142568827,0.10319950343760916,0.10428075827035063,0.08830708704803678,0.09155414253260004,0.10182422110909801,0.09679298818025982,0.10435114388467466,0.10285969562733623,0.0957289609050886,0.09899183459252299,0.10232912634304611,0.10331999690670879,0.09994897150330942,0.10324223481374624,0.10338688842241239,2017
